check_number,initial_status,indexing_status,is_deleted,page_number,row_number
0000050747,AR Check Failed,AR Check Failed,0,2,5,
0125156,AR Check Failed,AR Check Failed,0,3,3,
0125156,AR Check Failed,AR Check Failed,0,3,4,
0125156,AR Check Failed,AR Check Failed,0,3,5,
0001225278,AR Check Failed,AR Check Failed,0,3,4,
0001225278,AR Check Failed,AR Check Failed,0,3,5,
000052628,AR Check Failed,AR Check Failed,0,3,3,
000052628,AR Check Failed,AR Check Failed,0,3,4,
000052628,AR Check Failed,AR Check Failed,0,3,5,
000052628,AR Check Failed,AR Check Failed,0,3,6,
256843,AR Check Failed,AR Check Failed,0,3,2,
256843,AR Check Failed,AR Check Failed,0,3,3,
256843,AR Check Failed,AR Check Failed,0,3,4,
256843,AR Check Failed,AR Check Failed,0,3,5,
00010030,AR Check Failed,AR Check Failed,0,3,4,
00010030,AR Check Failed,AR Check Failed,0,3,5,
00010030,AR Check Failed,AR Check Failed,0,3,6,
272457,AR Check Failed,AR Check Failed,0,3,5,
272457,AR Check Failed,AR Check Failed,0,3,6,
272457,AR Check Failed,AR Check Failed,0,3,7,
203928,AR Check Failed,AR Check Failed,0,3,2,
203928,AR Check Failed,AR Check Failed,0,3,3,
203928,AR Check Failed,AR Check Failed,0,3,4,
181465,AR Check Failed,AR Check Failed,0,3,3,
181465,AR Check Failed,AR Check Failed,0,3,4,
181465,AR Check Failed,AR Check Failed,0,3,5,
181465,AR Check Failed,AR Check Failed,0,3,6,
181465,AR Check Failed,AR Check Failed,0,3,7,
181465,AR Check Failed,AR Check Failed,0,3,8,
181465,AR Check Failed,AR Check Failed,0,3,9,
181465,AR Check Failed,AR Check Failed,0,3,10,
181465,AR Check Failed,AR Check Failed,0,3,11,
181465,AR Check Failed,AR Check Failed,0,4,3,
009982,AR Check Failed,AR Check Failed,0,3,4,
009982,AR Check Failed,AR Check Failed,0,3,7,
024381,AR Check Failed,AR Check Failed,0,3,4,
024381,AR Check Failed,AR Check Failed,0,3,7,
005353,AR Check Failed,AR Check Failed,0,3,4,
005353,AR Check Failed,AR Check Failed,0,3,7,
002688,AR Check Failed,AR Check Failed,0,3,4,
002688,AR Check Failed,AR Check Failed,0,3,7,
00229583,AR Check Failed,AR Check Failed,0,3,2,
00229583,AR Check Failed,AR Check Failed,0,3,3,
00229583,AR Check Failed,AR Check Failed,0,3,4,
043678,AR Check Failed,AR Check Failed,0,3,1,
043678,AR Check Failed,AR Check Failed,0,3,2,
043678,AR Check Failed,AR Check Failed,0,3,3,
043678,AR Check Failed,AR Check Failed,0,3,4,
043678,AR Check Failed,AR Check Failed,0,3,5,
043678,AR Check Failed,AR Check Failed,0,3,6,
043678,AR Check Failed,AR Check Failed,0,3,7,
415643,AR Check Failed,AR Check Failed,0,3,3,
415643,AR Check Failed,AR Check Failed,0,3,4,
415643,AR Check Failed,AR Check Failed,0,3,5,
000540669,AR Check Failed,AR Check Failed,0,3,3,
000540669,AR Check Failed,AR Check Failed,0,3,4,
000540669,AR Check Failed,AR Check Failed,0,3,5,
000540669,AR Check Failed,AR Check Failed,0,3,6,
000540669,AR Check Failed,AR Check Failed,0,3,7,
000540669,AR Check Failed,AR Check Failed,0,3,8,
289833,AR Check Failed,AR Check Failed,0,3,3,
289833,AR Check Failed,AR Check Failed,0,3,4,
289833,AR Check Failed,AR Check Failed,0,3,5,
175190,AR Check Failed,AR Check Failed,0,3,5,
175190,AR Check Failed,AR Check Failed,0,3,6,
175190,AR Check Failed,AR Check Failed,0,3,7,
175190,AR Check Failed,AR Check Failed,0,3,8,
030643,AR Check Failed,AR Check Failed,1,2,5,
030643,AR Check Failed,AR Check Failed,0,3,4,
030643,AR Check Failed,AR Check Failed,0,3,5,
030643,AR Check Failed,AR Check Failed,0,3,6,
030643,AR Check Failed,AR Check Failed,0,3,7,
500876,AR Check Failed,AR Check Failed,0,3,4,
500876,AR Check Failed,AR Check Failed,0,3,5,
